1 0
0.98092 0.0025387
0.96965 0.0040049
0.95571 0.0057903
0.93943 0.0078381
0.92287 0.0098858
0.90658 0.011873
0.89236 0.013591
0.87673 0.015465
0.8595 0.017521
0.8404 0.019795
0.82036 0.022188
0.79676 0.025028
0.77188 0.02807
0.74932 0.030887
0.7279 0.03363
0.70377 0.036817
0.67891 0.040229
0.65121 0.044213
0.62277 0.048532
0.59984 0.052207
0.58028 0.055494
0.56231 0.058646
0.55196 0.060487
0.54165 0.062268
0.53133 0.06399
0.52102 0.065656
0.5107 0.067268
0.50038 0.06882
0.49009 0.070312
0.47981 0.071739
0.46954 0.0731
0.45927 0.074395
0.449 0.075625
0.43872 0.076791
0.42845 0.077892
0.4182 0.078925
0.40799 0.079883
0.39781 0.080761
0.38764 0.081561
0.37747 0.082281
0.36731 0.082922
0.35716 0.083484
0.34703 0.083962
0.33694 0.084357
0.32688 0.084663
0.31684 0.084876
0.30683 0.084996
0.29683 0.085022
0.28685 0.084955
0.27691 0.084791
0.26702 0.084527
0.25718 0.084159
0.24738 0.083684
0.23761 0.083099
0.22787 0.082401
0.21816 0.081593
0.2085 0.080675
0.1989 0.079645
0.18937 0.078498
0.17992 0.077228
0.17053 0.075832
0.16118 0.074301
0.15186 0.07264
0.14259 0.070856
0.13342 0.068956
0.12436 0.066937
0.11542 0.064797
0.10662 0.062543
0.098007 0.060186
0.08963 0.057732
0.081531 0.055193
0.073752 0.052581
0.066342 0.049921
0.05936 0.047239
0.052862 0.044575
0.046892 0.041956
0.041461 0.039403
0.036553 0.036931
0.032146 0.034559
0.028202 0.032294
0.024685 0.03014
0.021551 0.028094
0.018759 0.02615
0.016271 0.024297
0.014052 0.022523
0.012072 0.02082
0.010301 0.019177
0.0087198 0.017588
0.0073065 0.016045
0.0060456 0.014544
0.0049271 0.013081
0.0039472 0.011652
0.0031 0.010255
0.0023784 0.0088859
0.0017732 0.0075436
0.001273 0.0062293
0.00086541 0.0049428
0.000542 0.0036808
0.00029739 0.002444
0.00013775 0.0012318
0 0
0.00011802 -0.0011196
0.00028428 -0.00227
0.00058654 -0.0034111
0.0010272 -0.0045451
0.0016099 -0.0056658
0.002343 -0.0067617
0.0032315 -0.0078156
0.004277 -0.008829
0.0054744 -0.0098136
0.0068116 -0.010788
0.0082698 -0.011773
0.0098507 -0.012778
0.011569 -0.013802
0.013446 -0.014844
0.015506 -0.015904
0.017779 -0.016985
0.020296 -0.01809
0.023089 -0.019227
0.026191 -0.020401
0.029637 -0.021608
0.033468 -0.022836
0.037732 -0.024068
0.042493 -0.025297
0.047817 -0.026516
0.053766 -0.027724
0.060378 -0.028915
0.067643 -0.030089
0.075493 -0.03123
0.08384 -0.032309
0.092626 -0.033312
0.10179 -0.03424
0.11124 -0.035091
0.12089 -0.035856
0.13069 -0.036534
0.14062 -0.037127
0.15066 -0.03764
0.16079 -0.038077
0.17098 -0.03844
0.18121 -0.038733
0.19148 -0.038956
0.20177 -0.03911
0.21208 -0.039197
0.22243 -0.039219
0.23278 -0.039178
0.24315 -0.039075
0.2535 -0.038911
0.26384 -0.038684
0.27416 -0.038392
0.28446 -0.038031
0.29475 -0.037603
0.30503 -0.037107
0.31528 -0.036542
0.3255 -0.035906
0.33569 -0.035198
0.34585 -0.034412
0.35599 -0.033548
0.36609 -0.032605
0.37615 -0.03158
0.38618 -0.030466
0.39622 -0.029253
0.40632 -0.027942
0.41654 -0.026539
0.42687 -0.025058
0.43731 -0.023509
0.44784 -0.021907
0.45844 -0.020264
0.4691 -0.018587
0.47982 -0.016886
0.49057 -0.015168
0.50135 -0.013441
0.51213 -0.011715
0.5229 -0.0099988
0.53363 -0.0082997
0.54432 -0.0066252
0.55496 -0.0049791
0.56556 -0.0033677
0.58214 -0.001031
0.59829 0.00092593
0.61442 0.0025852
0.63577 0.0043591
0.65573 0.0056166
0.67564 0.0065208
0.69609 0.0071208
0.71891 0.0074408
0.7468 0.0074006
0.77125 0.007041
0.79457 0.0064729
0.81744 0.0057527
0.8355 0.0051014
0.85691 0.0042707
0.87544 0.0035291
0.8917 0.0028822
0.90971 0.002193
0.92545 0.0016316
0.94017 0.0011562
0.95736 0.00068018
0.97588 0.00028565
1 0
