xflr5 v6.57

Plane name :, kite_1152
Polar name :, T1-0.8 m/s-LLT
Freestream speed :, 0.8 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
  -14.000,     0.000,  -0.413511,   0.017908,   0.108275,   0.126183,   0.000000,  -0.000000,   0.052913,  -0.000000,  -0.000000,    0.7500,    0.0143
  -13.500,     0.000,  -0.428097,   0.018134,   0.095807,   0.113941,   0.000000,  -0.000000,   0.049608,  -0.000000,  -0.000000,    0.7500,    0.0127
  -13.000,     0.000,  -0.412273,   0.016712,   0.089928,   0.106640,   0.000000,  -0.000000,   0.045830,  -0.000000,  -0.000000,    0.7500,    0.0121
  -12.000,     0.000,  -0.500095,   0.022647,   0.069266,   0.091913,   0.000000,  -0.000000,   0.066592,  -0.000000,  -0.000000,    0.7500,    0.0154
  -11.500,     0.000,  -0.484090,   0.020857,   0.064908,   0.085765,   0.000000,  -0.000000,   0.061323,  -0.000000,  -0.000000,    0.7500,    0.0147
  -11.000,     0.000,  -0.533890,   0.019935,   0.050913,   0.070848,   0.000000,  -0.000000,   0.070213,  -0.000000,  -0.000000,    0.7500,    0.0150
  -10.500,     0.000,  -0.491951,   0.017987,   0.047006,   0.064993,   0.000000,  -0.000000,   0.057842,  -0.000000,  -0.000000,    0.7500,    0.0133
  -10.000,     0.000,  -0.452883,   0.015811,   0.044151,   0.059962,   0.000000,  -0.000000,   0.045702,  -0.000000,  -0.000000,    0.7500,    0.0113
   -9.500,     0.000,  -0.423395,   0.013829,   0.040927,   0.054756,   0.000000,  -0.000000,   0.035022,  -0.000000,  -0.000000,    0.7500,    0.0091
   -9.000,     0.000,  -0.383002,   0.011998,   0.038659,   0.050657,   0.000000,  -0.000000,   0.022529,  -0.000000,  -0.000000,    0.7500,    0.0060
   -8.500,     0.000,  -0.431574,   0.013741,   0.028128,   0.041869,   0.000000,  -0.000000,   0.034156,  -0.000000,  -0.000000,    0.7500,    0.0091
   -8.000,     0.000,  -0.382315,   0.011875,   0.026734,   0.038609,   0.000000,  -0.000000,   0.019057,  -0.000000,  -0.000000,    0.7500,    0.0052
   -7.500,     0.000,  -0.334327,   0.010225,   0.025797,   0.036022,   0.000000,  -0.000000,   0.004136,  -0.000000,  -0.000000,    0.7500,   -0.0009
   -7.000,     0.000,  -0.288280,   0.008819,   0.025090,   0.033909,   0.000000,  -0.000000,  -0.009104,  -0.000000,  -0.000000,    0.7500,    0.0082
   -6.500,     0.000,  -0.243849,   0.007630,   0.025136,   0.032766,   0.000000,  -0.000000,  -0.020457,  -0.000000,  -0.000000,    0.7500,   -0.0056
   -6.000,     0.000,  -0.200839,   0.006747,   0.026188,   0.032935,   0.000000,  -0.000000,  -0.030225,   0.000000,  -0.000000,    0.7500,   -0.0059
   -5.500,     0.000,  -0.158463,   0.006150,   0.027608,   0.033759,   0.000000,  -0.000000,  -0.039619,   0.000000,  -0.000000,    0.7500,   -0.0525
   -5.000,     0.000,  -0.114977,   0.005667,   0.028774,   0.034441,   0.000000,  -0.000000,  -0.049377,   0.000000,  -0.000000,    0.7500,   -0.0511
   -4.500,     0.000,  -0.075206,   0.005492,   0.029514,   0.035006,   0.000000,  -0.000000,  -0.057969,   0.000000,   0.000000,    0.7500,   -0.0978
   -4.000,     0.000,  -0.035127,   0.005415,   0.030087,   0.035502,   0.000000,  -0.000000,  -0.066634,   0.000000,   0.000000,    0.7500,   -0.4027
   -3.500,     0.000,   0.003462,   0.005492,   0.030407,   0.035899,   0.000000,  -0.000000,  -0.074749,   0.000000,   0.000000,    0.7500,    2.9916
   -3.000,     0.000,   0.038563,   0.005735,   0.030578,   0.036313,   0.000000,  -0.000000,  -0.081784,   0.000000,   0.000000,    0.7500,    0.2523
   -2.500,     0.000,   0.076498,   0.005877,   0.030563,   0.036440,   0.000000,  -0.000000,  -0.089972,   0.000000,   0.000000,    0.7500,    0.1387
   -2.000,     0.000,   0.118865,   0.006388,   0.030368,   0.036757,   0.000000,  -0.000000,  -0.101098,   0.000000,   0.000000,    0.7500,    0.1016
