xflr5 v6.57

Plane name :, kite_1152
Polar name :, T1-0.8 m/s-LLT
Freestream speed :, 0.8 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -1.500,     0.000,   0.160278,   0.007007,   0.030125,   0.037132,   0.000000,  -0.000000,  -0.112114,   0.000000,   0.000000,    0.7500,    0.0835
   -1.000,     0.000,   0.206000,   0.007592,   0.029959,   0.037551,   0.000000,  -0.000000,  -0.124729,   0.000000,   0.000000,    0.7500,    0.0703
   -0.500,     0.000,   0.247977,   0.008717,   0.029797,   0.038514,   0.000000,  -0.000000,  -0.136716,   0.000000,   0.000000,    0.7500,    0.0649
    0.000,     0.000,   0.295845,   0.009571,   0.029641,   0.039213,   0.000000,  -0.000000,  -0.150026,   0.000000,   0.000000,    0.7500,    0.0605
    0.500,     0.000,   0.335165,   0.010726,   0.029770,   0.040497,   0.000000,  -0.000000,  -0.160597,   0.000000,   0.000000,    0.7500,    0.0569
    1.000,     0.000,   0.383129,   0.012193,   0.029741,   0.041935,   0.000000,  -0.000000,  -0.174711,   0.000000,   0.000000,    0.7500,    0.0541
    1.500,     0.000,   0.432816,   0.013801,   0.029708,   0.043509,   0.000000,  -0.000000,  -0.189236,   0.000000,   0.000000,    0.7500,    0.0519
    2.000,     0.000,   0.482001,   0.015659,   0.029711,   0.045369,   0.000000,  -0.000000,  -0.203644,   0.000000,   0.000000,    0.7500,    0.0501
    2.500,     0.000,   0.527957,   0.017590,   0.030014,   0.047603,   0.000000,  -0.000000,  -0.217015,   0.000000,   0.000000,    0.7500,    0.0488
    3.000,     0.000,   0.582402,   0.019937,   0.029789,   0.049726,   0.000000,  -0.000000,  -0.233042,   0.000000,   0.000000,    0.7500,    0.0476
    3.500,     0.000,   0.631489,   0.022421,   0.029931,   0.052353,   0.000000,  -0.000000,  -0.247418,   0.000000,   0.000000,    0.7500,    0.0466
    4.000,     0.000,   0.669103,   0.024728,   0.030397,   0.055125,   0.000000,  -0.000000,  -0.257366,   0.000000,   0.000000,    0.7500,    0.0457
    4.500,     0.000,   0.716849,   0.027680,   0.030535,   0.058215,   0.000000,  -0.000000,  -0.271264,   0.000000,   0.000000,    0.7500,    0.0449
    5.000,     0.000,   0.754942,   0.030339,   0.030859,   0.061198,   0.000000,  -0.000000,  -0.281020,   0.000000,   0.000000,    0.7500,    0.0442
    5.500,     0.000,   0.798728,   0.033382,   0.030837,   0.064220,   0.000000,  -0.000000,  -0.292765,   0.000000,   0.000000,    0.7500,    0.0434
    6.000,     0.000,   0.838993,   0.036513,   0.031250,   0.067763,   0.000000,  -0.000000,  -0.303420,   0.000000,   0.000000,    0.7500,    0.0428
    6.500,     0.000,   0.880258,   0.039736,   0.031309,   0.071044,   0.000000,  -0.000000,  -0.314156,   0.000000,   0.000000,    0.7500,    0.0422
    7.000,     0.000,   0.922906,   0.043233,   0.031296,   0.074529,   0.000000,  -0.000000,  -0.325001,   0.000000,   0.000000,    0.7500,    0.0416
    7.500,     0.000,   0.969190,   0.047018,   0.030871,   0.077889,   0.000000,  -0.000000,  -0.336966,   0.000000,   0.000000,    0.7500,    0.0410
    8.000,     0.000,   1.011493,   0.050804,   0.030736,   0.081540,   0.000000,  -0.000000,  -0.347413,   0.000000,   0.000000,    0.7500,    0.0404
    8.500,     0.000,   1.055929,   0.054729,   0.030368,   0.085097,   0.000000,  -0.000000,  -0.358087,   0.000000,   0.000000,    0.7500,    0.0399
    9.000,     0.000,   1.093319,   0.058091,   0.030235,   0.088326,   0.000000,  -0.000000,  -0.365555,   0.000000,   0.000000,    0.7500,    0.0392
    9.500,     0.000,   1.126602,   0.061170,   0.029935,   0.091105,   0.000000,  -0.000000,  -0.370411,   0.000000,   0.000000,    0.7500,    0.0385
   10.000,     0.000,   1.130592,   0.060968,   0.031879,   0.092847,   0.000000,  -0.000000,  -0.363312,   0.000000,   0.000000,    0.7500,    0.0376
   10.500,     0.000,   1.145483,   0.062748,   0.033638,   0.096386,   0.000000,  -0.000000,  -0.363034,   0.000000,   0.000000,    0.7500,    0.0370
   11.000,     0.000,   1.164299,   0.065093,   0.035128,   0.100221,   0.000000,  -0.000000,  -0.363912,   0.000000,   0.000000,    0.7500,    0.0364
   11.500,     0.000,   1.175009,   0.066083,   0.037247,   0.103330,   0.000000,  -0.000000,  -0.360769,   0.000000,   0.000000,    0.7500,    0.0357
   12.000,     0.000,   1.191821,   0.067767,   0.038730,   0.106497,   0.000000,  -0.000000,  -0.360064,   0.000000,   0.000000,    0.7500,    0.0350
   12.500,     0.000,   1.192473,   0.067524,   0.041402,   0.108926,   0.000000,  -0.000000,  -0.353631,   0.000000,   0.000000,    0.7500,    0.0342
   13.000,     0.000,   1.207022,   0.069619,   0.043961,   0.113579,   0.000000,  -0.000000,  -0.354582,   0.000000,   0.000000,    0.7500,    0.0338
   13.500,     0.000,   1.232328,   0.072734,   0.046334,   0.119068,   0.000000,  -0.000000,  -0.359322,   0.000000,   0.000000,    0.7500,    0.0334
   14.000,     0.000,   1.245331,   0.074628,   0.049837,   0.124465,   0.000000,  -0.000000,  -0.360543,   0.000000,   0.000000,    0.7500,    0.0330


