xflr5 v6.57

Plane name :, kite_1000
Polar name :, T1-0.8 m/s-LLT
Freestream speed :, 0.8 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
  -14.000,     0.000,  -0.403125,   0.012943,   0.136363,   0.149306,   0.000000,  -0.000000,   0.057923,   0.000000,  -0.000000,    0.7500,    0.0140
  -12.000,     0.000,  -0.522231,   0.021817,   0.100110,   0.121928,   0.000000,  -0.000000,   0.094415,  -0.000000,  -0.000000,    0.7500,    0.0188
  -10.000,     0.000,  -0.446594,   0.014736,   0.077869,   0.092605,   0.000000,  -0.000000,   0.068655,   0.000000,  -0.000000,    0.7500,    0.0157
   -8.000,     0.000,  -0.625498,   0.017482,   0.033768,   0.051250,   0.000000,   0.000000,   0.121384,   0.000000,  -0.000000,    0.7500,    0.0210
   -6.000,     0.000,  -0.438118,   0.008786,   0.027087,   0.035873,   0.000000,   0.000000,   0.064104,   0.000000,   0.000000,    0.7500,    0.0152
   -4.000,     0.000,  -0.269077,   0.003457,   0.029358,   0.032815,   0.000000,   0.000000,   0.025042,   0.000000,   0.000000,    0.7500,    0.0084
   -2.000,     0.000,  -0.126174,   0.000859,   0.032282,   0.033141,   0.000000,   0.000000,   0.000915,   0.000000,  -0.000000,    0.7500,   -0.0161
    0.000,     0.000,   0.031161,   0.000048,   0.032561,   0.032609,   0.000000,   0.000000,  -0.035053,   0.000000,   0.000000,    0.7500,    0.0699
    2.000,     0.000,   0.193423,   0.001617,   0.032821,   0.034438,   0.000000,   0.000000,  -0.079421,   0.000000,  -0.000000,    0.7500,    0.0468
    4.000,     0.000,   0.411862,   0.007333,   0.033065,   0.040398,   0.000000,  -0.000000,  -0.148635,   0.000000,  -0.000000,    0.7500,    0.0408
    6.000,     0.000,   0.611047,   0.016375,   0.033975,   0.050350,   0.000000,  -0.000000,  -0.211069,   0.000000,   0.000000,    0.7500,    0.0389
    8.000,     0.000,   0.780577,   0.026630,   0.035021,   0.061651,   0.000000,  -0.000000,  -0.258545,   0.000000,   0.000000,    0.7500,    0.0370
   10.000,     0.000,   0.978691,   0.041838,   0.032820,   0.074658,   0.000000,   0.000000,  -0.312105,  -0.000000,  -0.000000,    0.7500,    0.0354
   12.000,     0.000,   1.134658,   0.056653,   0.030877,   0.087530,   0.000000,  -0.000000,  -0.344878,   0.000000,   0.000000,    0.7500,    0.0334
   14.000,     0.000,   1.165038,   0.062114,   0.039158,   0.101272,   0.000000,  -0.000000,  -0.331861,   0.000000,   0.000000,    0.7500,    0.0309


