xflr5 v6.57

Plane name :, kite_1304
Polar name :, T1-0.8 m/s-LLT
Freestream speed :, 0.8 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
  -14.000,     0.000,  -0.430429,   0.021320,   0.109770,   0.131090,   0.000000,  -0.000000,   0.058239,   0.000000,  -0.000000,    0.7500,    0.0175
  -12.000,     0.000,  -0.405486,   0.016928,   0.077537,   0.094464,   0.000000,  -0.000000,   0.036712,   0.000000,  -0.000000,    0.7500,    0.0103
  -10.000,     0.000,  -0.348932,   0.011259,   0.048530,   0.059789,   0.000000,  -0.000000,  -0.003384,  -0.000000,  -0.000000,    0.7500,   -0.0038
   -8.000,     0.000,  -0.312163,   0.011450,   0.026271,   0.037720,   0.000000,  -0.000000,  -0.026349,  -0.000000,  -0.000000,    0.7500,   -0.0235
   -6.000,     0.000,  -0.127926,   0.007926,   0.024531,   0.032457,   0.000000,  -0.000000,  -0.079481,   0.000000,  -0.000000,    0.7500,   -0.0762
   -4.000,     0.000,   0.030409,   0.008167,   0.027699,   0.035866,   0.000000,  -0.000000,  -0.115162,   0.000000,   0.000000,    0.7500,    0.4989
   -2.000,     0.000,   0.183216,   0.010588,   0.029091,   0.039679,   0.000000,  -0.000000,  -0.149777,   0.000000,   0.000000,    0.7500,    0.1035
    0.000,     0.000,   0.354935,   0.014940,   0.028854,   0.043793,   0.000000,  -0.000000,  -0.195425,   0.000000,   0.000000,    0.7500,    0.0696
    2.000,     0.000,   0.540182,   0.022232,   0.028837,   0.051069,   0.000000,  -0.000000,  -0.247442,   0.000000,   0.000000,    0.7500,    0.0579
    4.000,     0.000,   0.720745,   0.032658,   0.029261,   0.061918,   0.000000,  -0.000000,  -0.297200,   0.000000,   0.000000,    0.7500,    0.0523
    6.000,     0.000,   0.881357,   0.045364,   0.030114,   0.075478,   0.000000,  -0.000000,  -0.339013,   0.000000,   0.000000,    0.7500,    0.0486
    8.000,     0.000,   1.055749,   0.061339,   0.029526,   0.090865,   0.000000,  -0.000000,  -0.382987,   0.000000,   0.000000,    0.7500,    0.0456
   10.000,     0.000,   1.183306,   0.076443,   0.031000,   0.107443,   0.000000,  -0.000000,  -0.408356,   0.000000,   0.000000,    0.7500,    0.0430
   12.000,     0.000,   1.245887,   0.083465,   0.038464,   0.121928,   0.000000,  -0.000000,  -0.405110,   0.000000,   0.000000,    0.7500,    0.0402
   14.000,     0.000,   1.220104,   0.094415,   0.074574,   0.168989,   0.000000,  -0.000000,  -0.405328,   0.000000,   0.000000,    0.7500,    0.0407


