xflr5 v6.57

Plane name :, kite_1154
Polar name :, T1-0.8 m/s-LLT
Freestream speed :, 0.8 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
  -14.000,     0.000,  -0.438036,   0.017913,   0.122525,   0.140437,   0.000000,  -0.000000,   0.074988,   0.000000,  -0.000000,    0.7500,    0.0195
  -12.000,     0.000,  -0.426463,   0.015092,   0.088037,   0.103128,   0.000000,  -0.000000,   0.052728,  -0.000000,  -0.000000,    0.7500,    0.0133
  -10.000,     0.000,  -0.505447,   0.016715,   0.048866,   0.065582,   0.000000,  -0.000000,   0.059666,  -0.000000,  -0.000000,    0.7500,    0.0131
   -8.000,     0.000,  -0.403839,   0.011918,   0.030865,   0.042783,   0.000000,  -0.000000,   0.017848,  -0.000000,  -0.000000,    0.7500,    0.0045
   -6.000,     0.000,  -0.210263,   0.006608,   0.029179,   0.035786,   0.000000,  -0.000000,  -0.040980,   0.000000,  -0.000000,    0.7500,   -0.0170
   -4.000,     0.000,  -0.050192,   0.004824,   0.033623,   0.038447,   0.000000,  -0.000000,  -0.075215,   0.000000,   0.000000,    0.7500,   -0.2123
   -2.000,     0.000,   0.097113,   0.005196,   0.035710,   0.040906,   0.000000,  -0.000000,  -0.104526,   0.000000,   0.000000,    0.7500,    0.1259
    0.000,     0.000,   0.268486,   0.008002,   0.035281,   0.043283,   0.000000,  -0.000000,  -0.150584,   0.000000,   0.000000,    0.7500,    0.0674
    2.000,     0.000,   0.463028,   0.014248,   0.034466,   0.048714,   0.000000,  -0.000000,  -0.208446,   0.000000,   0.000000,    0.7500,    0.0536
    4.000,     0.000,   0.667679,   0.024653,   0.033555,   0.058209,   0.000000,  -0.000000,  -0.271080,   0.000000,   0.000000,    0.7500,    0.0483
    6.000,     0.000,   0.878010,   0.041087,   0.032093,   0.073180,   0.000000,  -0.000000,  -0.338397,   0.000000,   0.000000,    0.7500,    0.0457
    8.000,     0.000,   1.075856,   0.059105,   0.031329,   0.090434,   0.000000,  -0.000000,  -0.396116,   0.000000,   0.000000,    0.7500,    0.0434
   10.000,     0.000,   1.201691,   0.072064,   0.032130,   0.104194,   0.000000,  -0.000000,  -0.416831,   0.000000,   0.000000,    0.7500,    0.0405
   12.000,     0.000,   1.260905,   0.077996,   0.039832,   0.117828,   0.000000,  -0.000000,  -0.411360,   0.000000,   0.000000,    0.7500,    0.0378
   14.000,     0.000,   1.234953,   0.088378,   0.076117,   0.164496,   0.000000,  -0.000000,  -0.411613,   0.000000,   0.000000,    0.7500,    0.0383


