Alpha,kite_1000_T1-0_8 m_s-LLT, , Alpha,kite_1004_T1-0_8 m_s-LLT, , Alpha,kite_1152_T1-0_8 m_s-LLT, , Alpha,kite_1154_T1-0_8 m_s-LLT, , Alpha,kite_1304_T1-0_8 m_s-LLT, , 
            9,      24.30646, ,             9,       29.5831, ,           9.5,      31.51299, ,           9.5,      33.17319, ,           9.5,      32.29477, , 
          9.5,      25.47004, ,           9.5,      31.40434, ,            10,      31.62459, ,            10,      33.61421, ,            10,      33.09657, , 
           10,       27.3405, ,            10,      32.67347, ,          10.5,      32.04113, ,          10.5,      34.20947, ,          10.5,      33.97592, , 
         10.5,      28.61572, ,          10.5,       33.6333, ,            11,      32.56746, ,          11.5,      34.67568, ,            11,      34.70289, , 
           11,      29.85619, ,            11,      34.08686, ,          11.5,      32.86703, ,            12,      35.27239, ,          11.5,      34.52052, , 
         11.5,      30.98287, ,          11.5,      34.21712, ,            12,      33.33729, ,            13,       35.6827, ,            12,      34.85322, , 
           12,      31.70123, ,            12,      34.70605, ,          12.5,      33.35552, ,          13.5,      34.11632, ,            13,      33.67211, , 
         12.5,      32.04812, ,          12.5,      35.15777, ,            13,      33.76247, ,            14,       34.5467, ,          13.5,      33.85484, , 
           13,      32.17407, ,            13,      35.23537, ,          13.5,      34.47033, , , , ,            14,      34.12947, , 
         13.5,      32.29015, ,          13.5,      35.34962, ,            14,      34.83405, , , , , , , , 
           14,      32.54707, ,            14,      35.82643, , , , , , , , , , , 

