Alpha,kite_1000_T1-0_8 m_s-LLT, , Alpha,kite_1004_T1-0_8 m_s-LLT, , Alpha,kite_1152_T1-0_8 m_s-LLT, , Alpha,kite_1154_T1-0_8 m_s-LLT, , Alpha,kite_1304_T1-0_8 m_s-LLT, , 
            8,      2.049358, ,             8,      2.298953, ,           8.5,      2.656525, ,           8.5,      2.746927, ,           8.5,      2.822671, , 
          8.5,      2.152436, ,           8.5,      2.449123, ,             9,      2.768999, ,             9,      2.880572, ,             9,      2.947793, , 
            9,      2.288392, ,             9,      2.586561, ,           9.5,      2.884412, ,           9.5,      2.975749, ,           9.5,      3.017424, , 
          9.5,      2.397928, ,           9.5,      2.757907, ,            10,      2.942828, ,            10,      3.031415, ,            10,      3.104054, , 
           10,      2.573033, ,            10,      2.879049, ,          10.5,      3.002939, ,          10.5,      3.110491, ,          10.5,      3.209601, , 
         10.5,      2.695649, ,          10.5,      2.980348, ,            11,      3.077648, ,          11.5,      3.230762, ,            11,      3.297511, , 
           11,      2.816658, ,            11,      3.045272, ,          11.5,      3.143831, ,            12,       3.30511, ,          11.5,      3.330662, , 
         11.5,       2.93544, ,          11.5,      3.092112, ,            12,      3.209111, ,            13,      3.393854, ,            12,      3.375614, , 
           12,      3.013588, ,            12,      3.156847, ,          12.5,      3.234868, ,          13.5,      3.245735, ,            13,      3.269871, , 
         12.5,      3.073176, ,          12.5,      3.222762, ,            13,      3.278391, ,            14,      3.284996, ,          13.5,      3.325612, , 
           13,      3.108219, ,            13,      3.252721, ,          13.5,      3.348394, , , , ,            14,      3.350942, , 
         13.5,      3.137157, ,          13.5,       3.28086, ,            14,      3.377518, , , , , , , , 
           14,      3.175607, ,            14,      3.322469, , , , , , , , , , , 

